Project,instance,module,cell_count,cell_area_um2,net_area_um2,total_area_um2,area_percent
Conv2x2-conv-i16-h16-t16-o4-m08-std,matrix_a1,MatrixA1,388,679.392,132.179,811.571,5.177
Conv2x2-conv-i16-h16-t16-o4-m08-std,trf,Transform,968,1401.876,366.811,1768.687,11.283
Conv2x2-conv-i16-h16-t16-o4-m08-std,matrix_c0,MatrixC0,484,701.316,127.315,828.631,5.286
Conv2x2-conv-i16-h16-t16-o4-m08-std,matrix_c1,MatrixC1,484,700.56,127.315,827.875,5.281
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,Conv,Conv,11153,12022.416,4985.31,17007.726,100.0
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,inverse_row_acc,InverseRowAccumulate,262,292.824,65.068,357.892,2.104
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,inverse_row_acc_second,InverseRowAccumulate_264,176,208.908,38.2,247.108,1.453
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,inverse_row_current,InverseRow,107,187.488,36.576,224.064,1.317
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,inverse_row_lane1,InverseRow_263,107,187.488,36.576,224.064,1.317
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,multip0,MultipExact,684,697.536,292.805,990.341,5.823
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,multip1,MultipExact_271,655,676.242,269.145,945.387,5.559
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,multip2,MultipExact_270,655,676.242,269.145,945.387,5.559
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,multip3,MultipExact_269,655,675.612,269.145,944.757,5.555
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,multip4,MultipExact_268,694,695.394,282.501,977.895,5.75
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,multip5,MultipExact_267,708,698.166,286.738,984.904,5.791
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,multip6,MultipExact_266,700,699.174,284.5,983.674,5.784
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,multip7,MultipExact_265,708,698.922,286.738,985.66,5.795
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,trf,Transform,2441,1744.596,807.306,2551.902,15.004
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,matrix_c0,MatrixC0,1313,893.718,353.203,1246.921,7.331
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,matrix_c1,MatrixC1,1128,850.878,296.944,1147.822,6.749
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,Conv,Conv,10431,11270.574,4707.484,15978.058,100.0
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,inverse_row_acc,InverseRowAccumulate,238,265.608,59.014,324.622,2.032
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,inverse_row_acc_second,InverseRowAccumulate_231,160,189.756,34.681,224.437,1.405
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.27
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,inverse_row_lane1,InverseRow_230,97,169.848,33.045,202.893,1.27
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,multip0,Multip,599,626.472,246.268,872.74,5.462
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,multip1,Multip_238,597,627.228,245.272,872.5,5.461
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,multip2,Multip_237,598,626.22,245.893,872.113,5.458
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,multip3,Multip_236,597,627.984,245.272,873.256,5.465
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,multip4,Multip_235,601,634.914,250.0,884.914,5.538
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,multip5,Multip_234,601,635.67,250.129,885.799,5.544
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,multip6,Multip_233,608,636.678,251.869,888.547,5.561
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,multip7,Multip_232,601,635.67,250.129,885.799,5.544
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,trf,Transform,2354,1697.094,779.099,2476.193,15.497
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,matrix_c0,MatrixC0,1312,878.094,352.718,1230.812,7.703
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,matrix_c1,MatrixC1,1042,819.0,274.384,1093.384,6.843
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,Conv,Conv,7917,9938.376,3750.432,13688.808,100.0
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,inverse_row_acc,InverseRowAccumulate,361,326.214,138.828,465.042,3.397
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.482
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,multip0,Multip,597,625.716,245.893,871.609,6.367
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,multip1,Multip_384,597,625.716,245.647,871.363,6.366
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,multip2,Multip_383,596,625.59,245.518,871.108,6.364
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,multip3,Multip_382,596,625.59,245.518,871.108,6.364
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,trf,Transform,968,1401.876,366.811,1768.687,12.921
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,matrix_c0,MatrixC0,484,701.316,127.315,828.631,6.053
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,matrix_c1,MatrixC1,484,700.56,127.315,827.875,6.048
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,weight_trf_row0,WeightTransformRowConst,323,332.388,113.752,446.14,3.259
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,weight_trf_row1,WeightTransformRowConst_0,573,836.892,262.561,1099.453,8.032
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,weight_trf_row2,WeightTransformRowConst_1,596,811.566,271.053,1082.619,7.909
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,weight_trf_row3,WeightTransformRowConst_2,269,312.102,95.707,407.809,2.979
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,Conv,Conv,8142,10036.152,3799.873,13836.025,100.0
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,inverse_row_acc,InverseRowAccumulate,389,357.588,150.807,508.395,3.674
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,inverse_row_current,InverseRow,108,187.866,36.699,224.565,1.623
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,multip0,MultipSpatialExact,671,701.946,293.568,995.514,7.195
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,multip1,MultipSpatialExact_298,693,732.69,285.858,1018.548,7.362
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,multip2,MultipSpatialExact_297,693,733.068,286.104,1019.172,7.366
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,multip3,MultipSpatialExact_296,671,701.946,293.568,995.514,7.195
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,trf,Transform,968,1401.876,366.811,1768.687,12.783
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,matrix_c0,MatrixC0,484,701.316,127.315,828.631,5.989
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,matrix_c1,MatrixC1,484,700.56,127.315,827.875,5.983
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,weight_trf_row0,WeightTransformRowConst,283,263.844,76.632,340.476,2.461
